korean,pronunciation,hanja,part_of_speech,definition,english
꽃게,꼳께,,명사,손바닥 크기의 딱딱한 껍질로 싸인 몸통 양 옆으로 다리 8개와 집게발 2개가 붙어 있는 바다 동물.,blue crab
꽃나무,꼰나무,,명사,꽃이 피는 나무.,flowering tree
꽃눈,꼰눈,,명사,식물에서 꽃이 될 싹.,flower bud
꽃대,꼳때,,명사,꽃이 달리는 줄기.,flower stalk; floral axis
꽃동산,꼳똥산,,명사,꽃이 많이 피어 있는 작은 산이나 언덕.,flower garden
꽃등,꼳뜽,꽃燈,명사,종이로 만든 꽃 모양의 등.,paper flower lantern
꽃말,꼰말,,명사,꽃의 특징이나 전설 등에 따라 상징적인 의미를 붙인 말.,floral language; language of flowers
꽃망울,꼰망울,,명사,아직 피지 않은 어린 꽃봉오리.,flower bud
꽃모종,꼰모종,,명사,꽃밭에 옮겨 심기 위해 화분 등에 심어 키운 어린 꽃.,young flower
꽃물,꼰물,,명사,"물감처럼 쓰이는, 꽃을 짜서 생긴 색깔이 있는 액체.",natural dyes from flower petals
꽃바구니,꼳빠구니,,명사,꽃이나 식물 등을 예쁘게 꽂거나 담아 꾸민 바구니.,flower basket
꽃바람,꼳빠람,,명사,봄에 꽃이 필 즈음에 부는 바람.,floral breeze
꽃받침,꼳빧침,,명사,꽃에서 꽃잎을 받쳐 주는 부분.,calyx; flower cup; sepal
꽃밭,꼳빧,,명사,꽃이 많이 피어있거나 꽃을 심어 가꾸어 놓은 곳.,flowerbed; flower garden
꽃뱀,꼳뺌,,명사,알록달록하게 화려한 무늬를 가지고 있는 뱀.,colorful snake
꽃봉오리,꼳뽕오리,,명사,아직 피지 않은 꽃.,flower bud
꽃봉우리,,,명사,→ 꽃봉오리,
꽃분홍색,꼳뿐홍색,꽃粉紅色,명사,진한 분홍색.,cherry pink; deep pink
꽃비,꼳삐,,명사,(비유적으로) 꽃이 흩날리듯 가볍게 내리는 비.,flowery rain
꽃빵,꼳빵,,명사,밀가루 반죽으로 꽃 모양을 만들어서 찐 빵.,Chinese flower bun
꽃사슴,꼳싸슴,,명사,갈색 털에 흰 점들이 박혀 있는 예쁘고 작은 사슴.,dotted deer
꽃삽,꼳쌉,,명사,화초나 꽃나무를 심거나 가꾸는 데 쓰는 작은 삽.,trowel
꽃상여,꼳쌍여,꽃喪輿,명사,"꽃으로 장식된, 사람의 시체를 묘지까지 나르는 도구.",kkotsang-yeo; colorfully decorated bier
