korean,pronunciation,hanja,part_of_speech,definition,english
스페인,,Spain,명사,"남유럽의 서쪽에 있는 나라. 농업과 어업, 관광 산업이 발달했다. 공용어는 에스파냐어이고 수도는 마드리드이다.",Spain
스페인어,,Spain語,명사,주로 에스파냐 및 남미의 여러 나라에서 쓰이는 언어.,Spanish
스펙트럼,,spectrum,명사,광선이 분해되었을 때 파장에 따라 순서대로 나타나는 빛의 띠.,spectrum
스펠링,,spelling,명사,"주로 유럽 언어에서, 철자에 맞추어 적는 일. 또는 그런 철자.",spelling
스포이트,,spuit,명사,"적은 양의 액체를 옮겨 넣을 때 쓰는, 위쪽에 고무주머니가 달린 유리관.",syringe
스포츠맨,,sportsman,명사,운동에 재능이 있거나 운동을 전문적으로 하는 사람.,sportsman
스포츠카,,sports car,명사,주로 경주를 하거나 운전을 즐기기 위하여 속도를 빠르게 낼 수 있도록 만든 자동차.,sports car
스포트라이트,,spotlight,명사,공연에서 무대의 한 부분이나 특정한 인물만을 특별히 밝게 비추는 조명.,spotlight
스폰서,,sponsor,명사,행사나 자선 사업 등에 기부금을 내어 돕는 사람이나 단체.,sponsor
스폰지,,,명사,→ 스펀지,
스푼,,spoon,명사,"음식을 먹거나 차를 마실 때 쓰는, 둥글고 오목한 부분과 긴 손잡이가 있으며 크기가 다양한 기구.",spoon
스프레이,,spray,명사,머리카락을 원하는 모양으로 고정하기 위해 뿌려서 쓰는 물건.,hair spray
스프링,,spring,명사,나사 모양으로 빙빙 돌려 감아 잘 늘어나고 줄어들게 만든 물건.,spring
스피드,,speed,명사,물체가 움직이거나 일이 진행되는 빠르기.,speed
스피커,,speaker,명사,전기 신호를 음향 신호로 바꾸어 소리를 밖으로 내보내는 장치.,speaker
스핀,,spin,명사,"물리에서, 소립자가 가지고 있는 스스로 회전하는 성질.",spin
스핑크스,,Sphinx,명사,"고대 이집트 등지에서 건축물의 입구에 세운, 왕의 권력을 상징하는 석상.",sphinx
슬금슬금,슬금슬금,,부사,남이 알아차리지 못하도록 눈치를 살펴 가면서 슬며시 행동하는 모양.,furtively
슬기,슬기,,명사,사물의 이치나 주어진 상황 등을 바르게 판단하여 일을 잘 처리하는 재능.,wisdom
슬라이드,,slide,명사,불빛을 비추어 반사된 모습을 확대하여 화면에 보이도록 만든 필름.,slide
슬라이딩,,sliding,명사,"야구에서, 선수가 베이스를 밟거나 공을 잡기 위해 미끄러지듯 몸을 던지는 동작.",sliding
슬럼프,,slump,명사,"운동 경기에서, 자기 실력을 제대로 발휘하지 못하고 좋지 못한 결과를 내는 상태가 길게 계속되는 일.",slump
슬렁슬렁,슬렁슬렁,,부사,서두르지 않고 매우 느리게 행동하는 모양.,unhurriedly; without haste
슬로건,,slogan,명사,어떤 단체의 주장이나 생각을 짧고 명확하게 나타낸 말이나 글.,slogan
슬로바키아,,Slovakia,명사,"동유럽에 있는 나라. 주요 생산물로는 철, 동, 천연 소금 등이 있다. 공용어는 슬로바키아어이고 수도는 브라티슬라바이다.",Slovakia
슬로베니아,,Slovenia,명사,"동유럽에 있는 나라. 주요 생산물로는 석유, 납, 아연, 수은 등이 있다. 공용어는 슬로베니아어이고 수도는 류블랴나이다.",Slovenia
슬쩍슬쩍,슬쩍쓸쩍,,부사,다른 사람이 보지 못하게 잇따라 재빠르게.,stealthily; secretly; furtively
슬피,슬피,,부사,눈물이 날 만큼 마음이 아프고 괴롭게.,sadly
슬하,슬하,膝下,명사,부모가 자식을 키우고 보살피는 상태.,under one's parent's roof
습격,습껵,襲擊,명사,갑자기 덮쳐서 공격함.,surprise attack
습관성,습꽌썽,習慣性,명사,오랫동안 되풀이하는 동안에 저절로 익혀져 버린 성질.,habit
습관화,습꽌화,習慣化,명사,어떤 행동이 오랫동안 되풀이하는 동안에 저절로 익혀짐. 또는 그렇게 되게 함.,habituation
습도계,습또계/습또게,濕度計,명사,공기 속에 수증기가 포함되어 있는 정도를 재는 기구.,hygrometer; hygroscope
습성화,습썽화,習性化,명사,어떤 성질이나 행동 등이 오랫동안 되풀이되어 습관처럼 굳어져 버림. 또는 그렇게 되게 함.,habituation
습식,습씩,濕式,명사,액체를 써서 하는 방식.,wet method
습작,습짝,習作,명사,"시, 소설, 그림 등을 연습으로 짓거나 그려 봄. 또는 그 작품.",rough draft
습지,습찌,濕地,명사,습기가 많아 늘 축축한 땅.,wetland; swamp
습진,습찐,濕疹,명사,피부가 벌겋게 붓고 물집이나 고름 같은 것이 생기며 가려운 증상이 나타나는 피부병.,eczema
승강,승강,昇降/陞降,명사,오르고 내림.,going up and down; ascent and descent
승강구,승강구,昇降口,명사,계단을 오르내리는 입구나 출구.,entrance
승격,승껵,昇格,명사,자격이나 지위 등이 오름. 또는 자격이나 지위 등을 올림.,elevation of status
승계,승계/승게,承繼,명사,왕이나 권력자의 자리를 물려받음.,succession
승급,승급,昇級/陞級,명사,"급수나 등급, 직위 등이 오름.",promotion; advancement
승냥이,승냥이,,명사,"바위산이나 숲에 살며 떼를 지어 사냥을 하고 누런색이나 붉은 갈색의 털이 난, 큰 개와 비슷한 동물.",dhole
승률,승뉼,勝率,명사,경기 등에서 이긴 비율.,winning rate
승마복,승마복,乘馬服,명사,말을 탈 때에 입는 옷.,equestrian uniform
승무,승무,僧舞,명사,"흰 고깔을 쓰고 흰 승려 옷을 입고 추는, 한국의 민속 춤.",seungmu
승복,승복,承服,명사,어떤 사실이나 그 결과를 이해하고 받아들여 따름.,acceptance; acknowledgement
승부수,승부수,勝負手,명사,"경기나 게임, 바둑 등에서 승패를 좌우하는 결정.",winning move
승부욕,승부욕,勝負欲,명사,경기나 싸움 등에서 이기고 싶어 하는 마음.,desire for winning
승부처,승부처,勝負處,명사,경기나 싸움 등에서 승패가 결정되는 가장 중요한 곳. 또는 그런 때.,battlefield
승산,승산,勝算,명사,이길 가능성. 또는 그것에 대하여 속으로 하는 계산.,chance of winning
승선,승선,乘船,명사,배를 탐.,embarkation
승소,승소,勝訴,명사,재판에서 이김.,winning a case
승압기,승압끼,昇壓器,명사,전압을 높이는 기구.,booster
승인서,승인서,承認書,명사,허락하거나 인정하는 내용을 적은 문서.,written acknowledgment
승전,승전,勝戰,명사,싸움에서 이김.,victory; win
승전가,승전가,勝戰歌,명사,싸움이나 경기에서 이긴 것을 기념하면서 부르는 노래.,song of victory
승전국,승전국,勝戰國,명사,싸움에서 이긴 나라.,victorious country
승점,승쩜,勝點,명사,운동 경기 등에서 승패에 따라 계산하여 받는 점수.,winning point
승차감,승차감,乘車感,명사,움직이는 차 안에 앉아 있는 사람이 차가 흔들릴 때 몸으로 느끼는 안락한 느낌.,ride comfort
승천,승천,昇天,명사,하늘에 오름.,ascension
승하차,승하차,乘下車,명사,차를 타거나 차에서 내림.,getting in or out of a vehicle
승화,승화,昇華,명사,현상이나 상태 등이 더 높은 수준으로 발전함.,transcendence
시가,시ː까,市價,명사,시장에서 상품이 사고팔리는 가격.,market price; market value
시가전,시ː가전,市街戰,명사,도시의 큰 거리에서 벌이는 전투.,street battle
시가지,시ː가지,市街地,명사,도시의 큰 거리를 이루는 지역.,section of a city
시가행진,시ː가행진,市街行進,명사,도시의 큰 거리를 지나며 행진하는 일.,march; parade
시각차,시ː각차,視角差,명사,무엇을 보고 이해하고 판단하는 관점의 차이.,difference in viewpoints
시각표,시각표,時刻表,명사,정기적으로 운행하는 교통수단의 출발과 도착 시각을 적어 놓은 표.,schedule
시각화,시ː가콰,視覺化,명사,보이지 않는 것이 일정한 형태로 나타나 보임. 또는 그렇게 되게 함.,visualization
시간문제,시간문제,時間問題,명사,애쓰지 않아도 머지않아 저절로 해결될 문제.,matter of time
시간제,시간제,時間制,명사,시간을 단위로 하여 값을 매기거나 일을 하는 제도.,being by the hour
시계추,시계추/시게추,時計錘,명사,괘종시계 등에 매달려 좌우로 흔들리는 추.,pendulum
시계탑,시계탑/시게탑,時計塔,명사,시계를 설치한 높은 탑.,clock tower
시곗바늘,시계빠늘/시겓빠늘,時計바늘,명사,"시간, 분, 초 등을 가리키는 시계의 바늘.",hands of a clock
시골길,시골낄,,명사,시골에 나 있는 길.,country lane
시골뜨기,시골뜨기,,명사,(낮잡아 이르는 말로) 시골 사람.,hick; bumpkin
시골집,시골찝,,명사,시골 마을에 있는 집.,country home; cottage
시공,시ː공,施工,명사,공사를 실제로 함.,construction; building
시구,시꾸,詩句,명사,시의 구절.,phrase in a poem
시국,시국,時局,명사,현재 놓여 있는 나라 안팎의 형편이나 상황.,state of affairs
시궁창,시궁창,,명사,더러운 물이 고여서 썩어 있는 곳의 바닥. 또는 그 속.,ditch; gutter
시그널,,signal,명사,"일정한 부호, 소리, 몸짓 등으로 정보나 의사를 전달하거나 지시를 함. 또는 그렇게 하는 데 쓰는 부호.",signal
시금석,시ː금석,試金石,명사,귀금속의 순도를 판정하는 데 쓰는 암석.,touchstone
시급,시급,時給,명사,일한 시간에 따라 받는 돈.,hourly wage
시기심,시기심,猜忌心,명사,남이 잘되는 것을 싫어하여 미워하는 마음.,jealousy; envy
시기적,시기적,時期的,명사,알맞은 때나 기회에 관련된 것.,being timely
시끌벅적,시끌벅쩍,,부사,많은 사람들이 어수선하게 움직이며 시끄럽게 떠드는 모양.,noisily
시끌시끌,시끌시끌,,부사,몹시 시끄러운 모양.,noisily
시나브로,시나브로,,부사,모르는 사이에 조금씩 조금씩.,little by little; slowly but surely
시냇가,시ː내까/시ː낻까,,명사,물이 흐르는 시내의 주변.,banks of a stream
시너,,thinner,명사,페인트를 칠할 때 물감의 끈끈한 성질을 약하게 하기 위해 사용하는 액체.,thinner
시녀,시ː녀,侍女,명사,항상 곁에서 시중을 드는 여자.,maid
시누이,시누이,媤누이,명사,남편의 누나나 여동생.,sister-in-law
시달,시ː달,示達,명사,높은 직위나 기관에서 그보다 낮은 직위나 기관으로 명령이나 문서를 전달함.,order
시대상,시대상,時代相,명사,특정 시대에 나타나는 사회적 현상이나 모습.,reflection of the times
시대성,시대썽,時代性,명사,특정 시대의 사회에서 나타나는 대표적인 성격이나 성질.,character of the times
시대착오,시대차고,時代錯誤,명사,시대에 뒤떨어진 생각이나 생활 방식을 가짐.,anachronism; being anachronistic
시대착오적,시대차고적,時代錯誤的,명사,생각이나 생활 방식이 뒤떨어져 새로운 시대에 걸맞지 않은 것.,anachronism
시동,시ː동,始動,명사,처음으로 움직이기 시작함. 또는 그렇게 되게 함.,start; initiate
시동생,시동생,媤동생,명사,남편의 남동생.,brother-in-law
시들시들,시들시들,,부사,조금 시들어서 힘이 없는 모양.,wiltingly
시디롬,,CD-ROM,명사,"정보를 기록해서 읽을 수 있도록 한, 동그란 판 모양에 가운데 구멍이 뚫린 저장 매체.",CD-ROM
시디플레이어,,CD player,명사,콤팩트디스크에 녹음된 소리를 재생하는 기계.,CD player
시래기,시래기,,명사,"무의 잎, 줄기나 배추의 잎을 말린 것.",dried radish greens
시래깃국,시래기꾹/시래긷꾹,,명사,시래기를 넣어 끓인 된장국.,siraegiguk; siraegitguk
시럽,,syrup,명사,설탕을 넣고 졸여서 만든 걸쭉한 액체.,syrup
시련기,시ː련기,試鍊期,명사,힘든 고난이나 고비를 겪는 시기.,rough passage; tough time
시론,시론,詩論,명사,시에 대한 이론. 또는 그 평론.,essay on a poem
시루,시루,,명사,떡이나 쌀을 찌는 데 쓰며 바닥에 구멍이 여러 개 뚫려 있는 둥글고 넓적한 그릇.,earthenware steamer
시루떡,시루떡,,명사,떡가루에 콩이나 팥 등을 섞어 시루에 넣고 찐 떡.,sirutteok; steamed rice cake
시류,시류,時流,명사,그 시대의 흐름이나 경향.,stream of times
시름시름,시름시름,,부사,병이 더 심해지지도 않고 나아지지 않으면서 오랫동안 계속 아픈 모양.,lingeringly
시리아,,Syria,명사,서아시아 지중해 연안에 있는 나라. 고원 지대가 많으며 농업과 목축이 활발하다. 공용어는 아랍어이고 수도는 다마스쿠스이다.,Syria
시리얼,,cereal,명사,"주로 식사 대용으로 먹는, 곡물로 만든 바삭한 과자와 같은 음식물.",cereal
시말서,시ː말써,始末書,명사,잘못을 저지른 사람이 사건이 진행되어 온 과정을 자세히 적은 문서.,written apology and explanation
시무식,시ː무식,始務式,명사,연초에 근무를 시작할 때 하는 의식.,meeting to launch the New Year
시문,시문,詩文,명사,시와 산문.,literature; literary works
시민권,시ː민꿘,市民權,명사,국민이나 주민으로서 가지는 권리.,citizenship
시민운동,시ː미눈동,市民運動,명사,"시민들이 자신의 권리를 지키고 보호하기 위해 벌이는 정치적, 사회적 운동.",civic movement
시발,시ː발,始發,명사,"차나 기차, 배 등이 맨 처음으로 출발함.",departure
시발점,시ː발쩜,始發點,명사,"차나 기차, 배 등이 맨 처음으로 출발하는 장소.",departure point
시방,시방,時方,부사,말하고 있는 바로 이때에. 지금.,at present; at this time
시범적,시ː범적,示範的,명사,모범이 되는 본보기를 보이는 것.,being demonstrational
시보,시보,時報,명사,정확한 시간을 알려 주는 일.,time signal; telling time
시부렁시부렁,시부렁시부렁,,부사,쓸데없는 말을 함부로 자꾸 하는 모양.,jabberingly
시비조,시ː비쪼,是非調,명사,옳은 것과 잘못된 것을 따지며 다투려고 하는 듯한 말투.,aggressive attitude
시빗거리,시ː비꺼리/시ː빋꺼리,是非거리,명사,옳은 것과 잘못된 것을 따지며 말다툼을 할 만한 대상이나 내용.,bone of contention
시사점,시ː사쩜,示唆點,명사,어떤 것에 대해 미리 알아차릴 수 있도록 간접적으로 나타내거나 일러 주는 내용.,implication
시상대,시ː상대,施賞臺,명사,"경기나 시합 등에서, 뛰어난 성적을 거둔 선수가 올라가서 상을 받는 곳.",podium
시새움,시새움,,명사,자기보다 더 잘되거나 나은 사람을 이유 없이 미워하고 싫어함. 또는 그런 마음.,envy; jealousy
시샘,시샘,,명사,자기보다 더 잘되거나 나은 사람을 이유 없이 미워하고 싫어함. 또는 그런 마음.,envy; jealousy
시설물,시ː설물,施設物,명사,"어떤 목적을 위하여 만들어 놓은 건물이나 도구, 기계, 장치 등의 물건.",facility; establishment
시세,시세,時勢,명사,그때그때의 세상 형편.,current circumstances; current times
시소,,seesaw,명사,"길고 너른 판의 가운데를 고정하여, 그 양 끝에 사람이 타고 번갈아 오르락내리락하는 놀이 기구.",seesaw
시숙,시숙,媤叔,명사,남편의 형제.,brother-in-law
시술,시ː술,施術,명사,병이나 상처 등을 낫게 하기 위하여 의학적인 처치를 함. 또는 그런 일.,medical procedure; surgical procedure
시승,시ː승,試乘,명사,자동차 등의 탈것이나 말 등을 시험 삼아 타 봄.,trial ride; test drive
시시덕시시덕,시시덕씨시덕,,부사,실없이 웃으면서 조금 시끄럽게 자꾸 이야기하는 모양.,chatteringly
시시때때로,시시때때로,時時때때로,부사,(강조하는 말로) 때때로.,from time to time; occasionally
시시비비,시ː시비비,是是非非,명사,잘한 것과 잘못한 것.,right and wrong
시시콜콜,시시콜콜,,부사,마음씨나 행동이 너그럽지 못하고 생각이 좁은 모양.,stingily
시시콜콜히,시시콜콜히,,부사,마음씨나 행동이 너그럽지 못하고 생각이 좁은 모양.,stingily
시식,시ː식,試食,명사,음식 맛이나 요리 솜씨를 알아보려고 시험 삼아 음식을 먹어 봄.,taste; sample
시식회,시ː시쾨/시ː시퀘,試食會,명사,음식 맛이나 요리 솜씨를 알아보려고 시험 삼아 음식을 먹어 보는 행사.,food tasting
시신경,시ː신경,視神經,명사,눈에서 받아들인 빛의 자극을 뇌로 전달하는 신경.,optic nerve
시아주버니,시아주버니,媤아주버니,명사,남편의 남자 형제 가운데 남편보다 나이가 많은 사람.,elder brother of one's husband
시약,시ː약,試藥,명사,"화학에서, 어떤 물질의 성분을 알아내거나 양을 재는 데 쓰는 약.",chemical reagent
시어,시어,詩語,명사,시에 쓰는 말. 또는 시에 있는 말.,poetic diction
시어른,시어른,媤어른,명사,"시어머니, 시아버지 등 시집의 어른.",parents-in-law
시여,,,조사,정중하게 높여 부르는 뜻을 나타내는 조사.,siyeo
시연,시ː연,試演,명사,무용이나 연극 등을 일반 관객에게 보여 주기 전에 특정한 사람들에게 시험 삼아 먼저 보여 줌.,demonstration; trial performance
시연회,시ː연회/시ː연훼,試演會,명사,무용이나 연극 등을 일반 관객에게 보여 주기 전에 전문가나 특정한 사람들에게 먼저 보여 주는 것.,demonstration; trial performance
시영,시ː영,市營,명사,시의 사업으로 관리하고 운영하는 일. 또는 그 사업.,municipal management
시옷,시옫,,명사,한글 자모 ‘ㅅ’의 이름.,siot
시운,시운,時運,명사,어떤 시대나 시기의 운수.,luck of the times
시원스레,시원스레,,부사,덥지도 춥지도 않고 적당히 서늘하게.,
시원시원,시원시원,,부사,말이나 행동이 기분이 좋을 정도로 막힘이 없는 모양.,vigorously
시원히,시원히,,부사,덥지도 춥지도 않고 적당하게 서늘하게.,
시위대,시ː위대,示威隊,명사,자신들의 뜻을 나타내거나 주장하기 위해 집회나 행진을 하는 사람들의 무리.,demonstrators; protestors
시음,시ː음,試飮,명사,술이나 음료수 등의 맛을 알기 위해 조금 마셔 보는 일.,tasting; sample
시장기,시장끼,시장氣,명사,배가 고픈 느낌.,hunger
시장성,시ː장썽,市場性,명사,물건이 잘 팔릴 가능성이나 정도.,marketability
시제,시제,時制,명사,"언어에서, 현재, 과거, 미래 등의 시간을 표현하는 문법.",tense
시제품,시ː제품,試製品,명사,시험 삼아 만든 제품.,trial product; prototype
시조,시조,時調,명사,고려 말기부터 발달하여 조선 시대에 많이 지어진 우리나라 고유의 시.,sijo
시종,시ː종,始終,명사,처음과 끝.,beginning and end
시주,시ː주,施主,명사,"불교에서, 남을 돕는 마음으로 조건 없이 절이나 스님에게 돈이나 밥 등을 주는 일.",offering; donation
시집살이,시집싸리,媤집살이,명사,결혼한 여자가 시집에 들어가서 사는 일.,a married woman living with her in-laws
시차,시차,時差,명사,어떤 일을 하는 데 생기는 시간 차이.,time difference
시찰,시ː찰,視察,명사,두루 돌아다니며 현장의 분위기나 사정을 살핌.,inspection
시책,시ː책,施策,명사,국가나 행정 기관이 정한 계획이나 정책을 시행함. 또는 그 정책.,policy; measure
시쳇말,시첸말,時體말,명사,그 시대에 유행처럼 널리 퍼져 쓰이는 말.,buzzword
시초,시ː초,始初,명사,맨 처음.,start; outset
시추,시ː추,試錐,명사,석유 등의 지하자원이 있는지 알아보거나 지층의 구조나 상태를 조사하기 위해 기계로 땅속 깊이 구멍을 뚫는 일.,drilling
시침,시침,,명사,자기가 하고도 하지 않은 척하거나 알고도 모르는 척하는 태도.,feigned innocence; dissimulation
시침질,시침질,,명사,바느질을 할 때 여러 겹의 천을 맞대어 성기게 꿰매는 일.,basting
시큰시큰,시큰시큰,,부사,뼈마디가 저리거나 신 느낌.,tinglingly
시트,,sheet,명사,침대 겉에 아래위로 덧씌우는 천.,sheet
시트콤,,sitcom,명사,무대와 등장인물은 같게 하고 여러 회를 방송하는 코미디.,sitcom
시티,,CT,명사,사람의 몸 안을 촬영하여 각 방향에서의 모습을 컴퓨터로 처리하는 의료 기기.,CAT scanner
시판,시ː판,市販,명사,상품을 시장에서 일반 대중에게 판매함.,marketing
시한,시한,時限,명사,기간의 끝으로 정한 날짜나 시각.,deadline; time limit
시한부,시한부,時限附,명사,어떤 일에 일정한 시간의 기한을 둠.,being time-limited
시한폭탄,시한폭탄,時限爆彈,명사,정해 놓은 시간이 지나면 폭발하도록 장치한 폭탄.,time bomb
시해,시ː해,弑害,명사,"부모나 대통령, 임금 등의 지위가 높은 사람을 죽임.",assassination; murder
시험공부,시험공부,試驗工夫,명사,시험을 잘 치기 위하여 하는 공부.,cramming for an examination
시험관,시험관,試驗管,명사,"과학 실험에서 사용하는, 한쪽이 막힌 길쭉하고 투명한 유리관.",test tube
시험대,시험대,試驗臺,명사,자연 과학 현상에 대한 연구를 위해 연구 대상을 올려놓고 시험하거나 실험할 수 있도록 마련한 대.,table; dissection table
시험장,시험장,試驗場,명사,시험을 치르는 곳.,exam place; test site
시험적,시험적,試驗的,명사,재능이나 실력 등을 검사하고 평가하는 것.,
시현,시ː현,示現/示顯,명사,나타내 보임.,revelation; manifestation
시화,시화,詩畫,명사,시와 그림.,poetry and painting
식견,식껸,識見,명사,보고 듣거나 배워서 얻은 지식.,knowledge; intelligence
식곤증,식꼰쯩,食困症,명사,음식을 먹은 뒤에 몸에 기운이 없고 졸음이 오는 증상.,drowsiness after a meal
식기세척기,식끼세척끼,食器洗滌機,명사,그릇이나 컵 등을 씻어 주는 기계.,dishwasher
식대,식때,食代,명사,음식의 값.,food expenses
식도,식또,食道,명사,목으로 넘긴 음식물을 위까지 연결하는 소화 기관.,gullet; esophagus
식도락,식또락,食道樂,명사,여러 가지 맛있는 음식을 먹는 것을 즐거움으로 삼는 일.,gourmandism
식도락가,식또락까,食道樂家,명사,여러 가지 맛있는 음식을 먹는 것을 즐거움으로 삼는 사람.,gourmand
식모,싱모,食母,명사,남의 집에 고용되어 주로 집안일을 맡아 하는 여자.,housemaid
식목일,싱목일,植木日,명사,나무를 많이 심고 잘 가꾸도록 권장하기 위해 정한 기념일. 4월 5일이다.,Arbor Day
식물성,싱물썽,植物性,명사,식물에서만 볼 수 있는 고유한 성질.,being vegetable
식물원,싱무뤈,植物園,명사,식물을 연구하거나 식물에 대해 알리기 위해 많은 종류의 식물을 모아 기르는 곳.,botanical garden
식물인간,싱무린간,植物人間,명사,"뇌를 다쳐 의식이 없고 몸을 움직일 수 없으나 호흡과 소화, 흡수 등의 기능은 유지하고 있는 환자.",person in a vegetative state
식물학,싱물학,植物學,명사,생물학의 한 분야로 식물을 연구하는 학문.,botany; phytology
식별,식뼐,識別,명사,다른 것과 구별하여 알아봄.,discrimination; discernment
식솔,식쏠,食率,명사,한 집안에 딸린 사람들.,mouths to feed; family
식수대,식쑤대,植樹帶,명사,가로수를 심으려고 길거리나 광장 등에 마련해 둔 자리.,planting strip; planting belt
식순,식쑨,式順,명사,식을 진행하는 순서.,program
식염,시겸,食鹽,명사,먹는 소금.,table salt
식염수,시겸수,食鹽水,명사,소금을 녹인 물.,salted water
식음,시금,食飮,명사,먹고 마심. 또는 그런 일.,eating and drinking
식음료,시금뇨,食飮料,명사,사람이 먹거나 마실 수 있도록 만든 것.,food and beverage
식인종,시긴종,食人種,명사,사람을 잡아먹는 풍습을 가진 종족.,cannibal
식자,식짜,識者,명사,지식이 있는 사람.,learned man; intelligent person
식장,식짱,式場,명사,식을 진행하는 장소.,ceremonial hall
식전,식쩐,食前,명사,식사하기 전.,being before meals
식충,식충,食蟲,명사,벌레를 잡아먹는 것.,eating insects
식칼,식칼,食칼,명사,부엌에서 요리할 때 쓰는 칼.,kitchen knife
식탁보,식탁뽀,食卓褓,명사,식탁에 까는 보자기.,tablecloth
식탐,식탐,食貪,명사,음식을 탐냄.,gluttony
식판,식판,食板,명사,"밥, 국, 서너 가지의 반찬을 담을 수 있게 칸을 나누어 만든 쟁반.",food tray
식혜,시켸/시케,食醯,명사,"엿기름 우린 물에 밥을 넣어 삭힌 후 밥알이 뜨면 설탕을 넣고 끓인 다음 차게 식혀 먹는, 단맛의 한국 전통 음료.",sikhye; sweet rice punch
신간,신간,新刊,명사,책을 새로 인쇄하여 펴냄. 또는 그 책.,new book; new release
신검,신검,身檢,명사,건강 상태를 알기 위하여 몸의 각 부분을 검사하는 일.,physical examination
신격,신껵,神格,명사,신으로서의 자격. 또는 신의 격식.,divinity
신격화,신껴콰,神格化,명사,어떤 대상을 신의 지위로 올려놓음.,deification
신경계,신경계/신경게,神經系,명사,뇌와 신경을 구성하는 계통의 기관.,nervous system
신경과,신경꽈,神經科,명사,신경 계통에 관련된 질병을 치료하는 의학 분야. 또는 그 분야의 병원.,neurology; department of neurology
신경성,신경썽,神經性,명사,신경 계통에 이상이 생겨 어떤 병이나 증세가 나타나는 성질.,being neurological; being neurogenic
신경외과,신경외꽈/신경웨꽈,神經外科,명사,"뇌, 척수, 말초 신경 등의 신경계의 질병을 수술로 치료하는 의학 분야. 또는 그 분야의 병원.",neurosurgery; department of neurosurgery
신경전,신경전,神經戰,명사,속임수나 선전 등으로 적의 신경을 자극하여 사기를 잃게 하는 전술. 또는 그런 싸움.,war of nerves
신경증,신경쯩,神經症,명사,"심리적 원인에 의하여 신체적, 정신적 증상이 나타나는 병.",neurosis; neuropathy
신경질적,신경질쩍,神經質的,명사,신경이 너무 예민하여 사소한 일에도 흥분하거나 화를 내는 성질이 있는 것.,being temperamental; being sharp-tempered
신고식,신고식,申告式,명사,어떤 집단이나 조직에 새로 들어온 사람이 원래 있던 사람들에게 자신을 알리는 의식.,debut; hazing
신관,신관,新館,명사,새로 지은 건물.,new building
신교,신교,新敎,명사,종교 개혁에 의해 가톨릭에서 갈라져 나온 기독교의 한 교파.,Protestantism
신구,신구,新舊,명사,새것과 헌것.,old and new
신권,신꿘,新券,명사,새롭게 만들어서 찍어 낸 지폐. 또는 쓰지 않아 깨끗한 새 지폐.,new bill
신기,신기,神技,명사,매우 뛰어난 기술.,consummate skill; divine skill
신기루,신ː기루,蜃氣樓,명사,공기 중에서 빛이 굴절되어 공중이나 땅 위에 실제로는 있지 않는 사물의 모습이 나타나 보이는 현상.,mirage
신기술,신기술,新技術,명사,이전의 기술보다 더 좋아진 새로운 기술.,new technology
신기원,신기원,新紀元,명사,이전과는 완전히 달라진 새로운 시기나 시대.,new era; new epoch
신년,신년,新年,명사,새로 시작되는 해.,new year
신년회,신년회/신년훼,新年會,명사,연초에 가족이나 친구 등이 모여 새해를 맞이하면서 벌이는 행사.,New Year's party
신당,신당,新黨,명사,새로 만든 정당.,new political party
신대륙,신대륙,新大陸,명사,"새로 발견된 대륙이라는 뜻으로, 남북아메리카 대륙과 오스트레일리아 대륙.",New World
신데렐라,,Cinderella,명사,신데렐라' 이야기에 나오는 여자 주인공. 계모에게 구박을 받으며 궂은 일을 하다가 요술 할머니의 도움으로 왕자를 만나 결혼한다.,Cinderella
신도,신ː도,信徒,명사,어떤 종교를 믿고 따르는 사람.,believer; devotee
신동,신동,神童,명사,머리가 좋고 재주가 뛰어난 어린아이.,prodigy
신드롬,,syndrome,명사,증세는 공통되지만 직접적인 원인은 분명하지 않은 여러 가지 병적 징후.,syndrome
신랄히,실랄히,辛辣히,부사,어떤 일이나 사람에 대한 분석이나 비판 등이 매우 날카롭고 예리하게.,sharply
신랑감,실랑깜,新郞감,명사,신랑이 될 만한 남자. 또는 앞으로 신랑이 될 남자.,potential husband
신령,실령,神靈,명사,"민속에서, 초자연적인 존재로 받드는 신.",god; deity
신록,실록,新綠,명사,늦은 봄이나 이른 여름에 새로 나온 잎의 초록 빛깔.,verdure; fresh green
신뢰,실ː뢰/실ː뤠,信賴,명사,굳게 믿고 의지함.,trust; faith
신뢰감,실ː뢰감/실ː뤠감,信賴感,명사,굳게 믿고 의지하는 마음.,trust; faith
신뢰도,실ː뢰도/실ː뤠도,信賴度,명사,믿고 의지할 수 있는 정도.,credibility; reliability
신뢰성,실ː뢰썽/실ː뤠썽,信賴性,명사,굳게 믿고 의지할 수 있는 성질.,reliability; credibility
신망,신ː망,信望,명사,믿고 기대함. 또는 그런 믿음.,confidence; trust
신문명,신문명,新文明,명사,이전 시대에는 없었던 새로운 문명.,new civilization
신문물,신문물,新文物,명사,이전에는 없었던 새로운 문화의 산물.,new culture
신문화,신문화,新文化,명사,새로운 문화.,new culture
신발장,신발짱,신발欌,명사,신발을 넣어 두는 가구.,shoe rack; shoe closet
신발주머니,신발쭈머니,,명사,신발을 넣어 들고 다니는 주머니.,shoe pouch
신발짝,신발짝,,명사,신발의 한 짝.,shoe
신방,신방,新房,명사,신랑과 신부가 첫날밤을 함께 보내도록 마련한 방.,room for newly married couple
신법,신뻡,新法,명사,새로 만들어 정한 법.,new law
신변,신변,身邊,명사,몸이나 몸의 주변.,body
